IP,Port
43.138.200.133,853,
23.94.211.252,853,
23.247.213.178,853,
23.247.212.53,853,
45.90.28.126,853,
23.247.212.199,853,
194.150.105.228,853,
152.69.210.77,853,
172.210.48.176,853,
103.169.193.203,853,
91.246.113.183,853,
91.107.203.110,853,
45.90.31.119,853,
91.107.151.74,853,
99.242.255.28,853,
45.90.30.15,853,
172.234.212.136,853,
167.179.78.123,853,
23.247.214.181,853,
49.13.154.167,853,
23.247.214.151,853,
23.239.19.26,853,
45.90.31.73,853,
45.90.31.178,853,
45.90.30.71,853,
23.247.212.11,853,
172.109.187.125,853,
135.181.253.193,853,
153.126.167.61,853,
112.124.39.138,853,
141.147.70.28,853,
45.90.28.245,853,
43.156.54.15,853,
107.148.71.14,853,
45.90.28.146,853,
45.90.30.12,853,
178.253.23.166,853,
45.90.29.215,853,
104.248.95.153,853,
23.247.212.156,853,
192.3.59.192,853,
123.184.198.22,853,
146.19.14.110,853,
185.229.226.28,853,
23.247.212.175,853,
45.90.30.181,853,
59.10.221.115,853,
205.198.64.171,853,
104.255.68.65,853,
45.90.30.67,853,
23.247.213.224,853,
69.61.38.158,853,
45.90.30.146,853,
185.243.217.226,853,
49.12.43.208,853,
217.160.68.68,853,
23.247.214.179,853,
23.247.212.111,853,
85.239.238.254,853,
23.247.214.77,853,
185.165.116.122,853,
45.90.28.80,853,
103.85.38.2,853,
23.247.214.126,853,
45.90.29.144,853,
91.191.170.21,853,
103.199.17.192,853,
146.19.14.187,853,
107.172.214.252,853,
23.247.214.93,853,
45.90.28.13,853,
146.19.14.132,853,
45.90.31.49,853,
85.215.122.44,853,
47.253.24.11,853,
45.90.29.87,853,
23.247.212.45,853,
45.90.29.212,853,
43.247.135.8,853,
39.100.183.132,853,
45.90.28.79,853,
107.148.56.84,853,
23.247.214.135,853,
103.89.233.28,853,
47.100.42.2,853,
149.28.148.61,853,
23.247.215.48,853,
27.0.234.236,853,
146.19.14.188,853,
45.90.29.90,853,
45.90.31.15,853,
77.91.84.11,853,
95.179.182.121,853,
45.90.28.143,853,
134.195.90.47,853,
51.68.170.203,853,
144.91.104.133,853,
45.90.30.19,853,
45.90.30.99,853,
146.19.14.177,853,
45.90.30.112,853,
148.135.68.232,853,
66.23.193.192,853,
45.90.30.214,853,
67.219.103.157,853,
146.19.14.155,853,
45.90.28.110,853,
200.25.62.68,853,
90.84.237.220,853,
23.247.214.182,853,
172.104.59.35,853,
45.90.28.20,853,
45.90.29.45,853,
45.90.31.161,853,
45.150.240.165,853,
157.90.183.107,853,
66.206.31.204,853,
45.90.31.126,853,
5.42.86.188,853,
45.90.29.82,853,
123.184.198.20,853,
128.199.118.222,853,
45.142.244.144,853,
23.247.213.146,853,
112.126.74.237,853,
152.42.236.209,853,
23.247.214.143,853,
45.90.28.230,853,
45.90.31.36,853,
23.247.214.149,853,
45.90.31.194,853,
23.247.212.200,853,
146.19.14.195,853,
206.237.21.110,853,
146.19.14.185,853,
23.247.212.98,853,
106.55.249.126,853,
23.247.213.83,853,
23.247.213.13,853,
23.247.213.230,853,
89.208.107.156,853,
146.19.14.70,853,
45.90.28.49,853,
154.21.93.142,853,
182.253.73.253,853,
23.247.213.213,853,
23.247.213.191,853,
45.90.31.16,853,
135.181.102.167,853,
202.12.80.23,853,
45.90.31.38,853,
45.90.30.154,853,
39.96.73.37,853,
45.90.28.102,853,
45.90.31.62,853,
159.54.140.167,853,
23.247.215.73,853,
124.223.77.150,853,
45.90.28.64,853,
2.7.65.66,853,
45.90.30.253,853,
23.247.213.189,853,
45.90.28.50,853,
138.2.7.202,853,
77.91.84.213,853,
125.253.103.96,853,
172.93.220.162,853,
